,precision,recall,f1-score,support
adenocarcinoma,0.9226519337016574,0.9766081871345029,0.9488636363636364,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,1.0,0.8554216867469879,0.922077922077922,83.0
benign prostatic hypertrophy,1.0,0.9367088607594937,0.9673202614379085,79.0
biliary calculus,0.9506172839506173,0.7938144329896907,0.8651685393258427,194.0
carcinoma breast,0.9707602339181286,0.9764705882352941,0.9736070381231672,170.0
chronic obstructive airway disease,0.852760736196319,1.0,0.9205298013245033,139.0
cirrhosis,1.0,0.9101123595505618,0.9529411764705882,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.632,0.9753086419753086,0.7669902912621359,162.0
deep vein thrombosis,0.99375,0.9464285714285714,0.9695121951219512,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8613861386138614,0.9775280898876404,0.9157894736842105,178.0
dependence,0.9760479041916168,0.9760479041916168,0.9760479041916168,167.0
effusion pericardial,0.9649122807017544,0.9763313609467456,0.9705882352941176,169.0
epilepsy,0.9761904761904762,0.9534883720930233,0.9647058823529412,172.0
failure heart,0.888268156424581,0.9754601226993865,0.9298245614035088,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,1.0,0.9024390243902439,0.9487179487179487,164.0
glaucoma,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,0.9761904761904762,0.9479768786127167,0.9618768328445748,173.0
hyperlipidemia,1.0,0.6651162790697674,0.7988826815642458,215.0
hypertension pulmonary,1.0,1.0,1.0,75.0
hypertensive disease,0.7711864406779662,0.8666666666666667,0.8161434977578476,210.0
hypoglycemia,1.0,1.0,1.0,152.0
infection,1.0,0.8806818181818182,0.9365558912386707,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.9075144508670521,0.9751552795031055,0.9401197604790419,161.0
manic disorder,0.9540229885057471,0.9707602339181286,0.9623188405797102,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9297297297297298,0.9772727272727273,0.9529085872576177,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
overload fluid,1.0,0.9239766081871345,0.9604863221884499,171.0
pancreatitis,0.5581395348837209,0.96,0.7058823529411765,100.0
paroxysmal dyspnea,0.9748427672955975,0.7908163265306123,0.8732394366197183,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6622222222222223,0.9490445859872612,0.7801047120418848,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9506172839506173,0.9506172839506173,0.9506172839506173,162.0
tachycardia sinus,1.0,0.9298245614035088,0.9636363636363636,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,0.9743589743589743,0.95,0.9620253164556962,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9400859145376441,0.9400859145376441,0.9400859145376441,0.9400859145376441
macro avg,0.9532154365705021,0.9450443695501618,0.9453568069010941,8846.0
weighted avg,0.9517063178486364,0.9400859145376441,0.9420158378133949,8846.0
