,precision,recall,f1-score,support
adenocarcinoma,0.9760479041916168,0.9532163742690059,0.9644970414201184,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,0.9861111111111112,0.8554216867469879,0.9161290322580645,83.0
benign prostatic hypertrophy,0.9512195121951219,0.9873417721518988,0.968944099378882,79.0
biliary calculus,0.9294117647058824,0.8144329896907216,0.8681318681318682,194.0
carcinoma breast,0.9938650306748467,0.9529411764705882,0.972972972972973,170.0
chronic obstructive airway disease,0.852760736196319,1.0,0.9205298013245033,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.632,0.9753086419753086,0.7669902912621359,162.0
deep vein thrombosis,0.9937106918238994,0.9404761904761905,0.9663608562691132,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8947368421052632,0.9550561797752809,0.9239130434782609,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9593023255813954,0.9763313609467456,0.967741935483871,169.0
epilepsy,0.9534883720930233,0.9534883720930233,0.9534883720930233,172.0
failure heart,0.888268156424581,0.9754601226993865,0.9298245614035088,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.9285714285714286,0.9512195121951219,0.9397590361445783,164.0
glaucoma,0.9621212121212122,0.9694656488549618,0.9657794676806084,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.9248554913294798,0.960960960960961,173.0
hyperlipidemia,1.0,0.6651162790697674,0.7988826815642458,215.0
hypertension pulmonary,1.0,1.0,1.0,75.0
hypertensive disease,0.774468085106383,0.8666666666666667,0.8179775280898877,210.0
hypoglycemia,1.0,1.0,1.0,152.0
infection,1.0,0.8806818181818182,0.9365558912386707,176.0
infection urinary tract,1.0,0.9760479041916168,0.9878787878787879,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.8971428571428571,0.9751552795031055,0.9345238095238095,161.0
manic disorder,0.9344262295081968,1.0,0.9661016949152542,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9488636363636364,0.9488636363636364,0.9488636363636364,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
overload fluid,1.0,0.9239766081871345,0.9604863221884499,171.0
pancreatitis,0.696969696969697,0.92,0.7931034482758621,100.0
paroxysmal dyspnea,0.9746835443037974,0.7857142857142857,0.8700564971751412,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6682027649769585,0.9235668789808917,0.7754010695187166,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9506172839506173,0.9506172839506173,0.9506172839506173,162.0
tachycardia sinus,1.0,0.9298245614035088,0.9636363636363636,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,0.9743589743589743,0.95,0.9620253164556962,160.0
tricuspid valve insufficiency,0.7257142857142858,0.9694656488549618,0.8300653594771242,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9398598236491069,0.9398598236491069,0.9398598236491069,0.9398598236491069
macro avg,0.9510538058762719,0.9451261024574095,0.9448975543594644,8846.0
weighted avg,0.9496806971186129,0.9398598236491069,0.9413122215529063,8846.0
