,precision,recall,f1-score,support
adenocarcinoma,0.9760479041916168,0.9532163742690059,0.9644970414201184,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.916083916083916,1.0,0.9562043795620438,131.0
asthma,0.9861111111111112,0.8554216867469879,0.9161290322580645,83.0
benign prostatic hypertrophy,0.9866666666666667,0.9367088607594937,0.961038961038961,79.0
biliary calculus,0.9506172839506173,0.7938144329896907,0.8651685393258427,194.0
carcinoma breast,0.9707602339181286,0.9764705882352941,0.9736070381231672,170.0
chronic obstructive airway disease,0.8475609756097561,1.0,0.9174917491749175,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,0.9746835443037974,0.8651685393258427,0.9166666666666666,178.0
coronary arteriosclerosis,0.6637168141592921,0.9259259259259259,0.7731958762886598,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8613861386138614,0.9775280898876404,0.9157894736842105,178.0
dependence,0.9760479041916168,0.9760479041916168,0.9760479041916168,167.0
effusion pericardial,0.9388888888888889,1.0,0.9684813753581661,169.0
epilepsy,0.9761904761904762,0.9534883720930233,0.9647058823529412,172.0
failure heart,0.9263803680981595,0.9263803680981595,0.9263803680981595,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.9285714285714286,0.9512195121951219,0.9397590361445783,164.0
glaucoma,1.0,0.9389312977099237,0.968503937007874,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,0.9761904761904762,0.9479768786127167,0.9618768328445748,173.0
hyperlipidemia,0.8670212765957447,0.7581395348837209,0.8089330024813896,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.8709677419354839,0.7714285714285715,0.8181818181818182,210.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,0.9754601226993865,0.9034090909090909,0.9380530973451328,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,1.0,0.9136690647482014,0.9548872180451128,139.0
malignant neoplasms ,0.8971428571428571,0.9751552795031055,0.9345238095238095,161.0
manic disorder,0.9344262295081968,1.0,0.9661016949152542,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9545454545454546,0.9545454545454546,0.9545454545454546,176.0
obesity,0.9761904761904762,1.0,0.9879518072289156,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9479768786127167,0.9534883720930233,0.9507246376811594,172.0
overload fluid,0.9759036144578314,0.9473684210526315,0.9614243323442137,171.0
pancreatitis,0.7096774193548387,0.88,0.7857142857142857,100.0
paroxysmal dyspnea,0.8505154639175257,0.8418367346938775,0.8461538461538461,196.0
peripheral vascular disease,0.9746835443037974,0.9746835443037974,0.9746835443037974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6016597510373444,0.9235668789808917,0.7286432160804021,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9931972789115646,0.9012345679012346,0.9449838187702265,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.8410596026490066,0.9694656488549618,0.900709219858156,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9396337327605697,0.9396337327605697,0.9396337327605697,0.9396337327605697
macro avg,0.9503089577842124,0.9436792675995901,0.9447780189580232,8846.0
weighted avg,0.9471266172291448,0.9396337327605697,0.9411270338410994,8846.0
